title,author,is_loaned,copies,available,genre,year,waiting list
To Kill a Mockingbird,Harper Lee,Yes,2,0,Fiction,1960,
1984,George Orwell,Yes,5,0,Dystopian,1949,
Moby Dick,Herman Melville,Yes,1,0,Adventure,1851,
Pride and Prejudice,Jane Austen,Yes,3,0,Romance,1813,
Crime and Punishment,Fyodor Dostoevsky,Yes,1,0,Psychological Drama,1866,
The Divine Comedy,Dante Alighieri,Yes,1,0,Epic Poetry,1320,
Anna Karenina,Leo Tolstoy,Yes,2,0,Fiction,1877,
The Iliad,Homer,Yes,1,0,Epic Poetry,-750,
Invisible Man,Ralph Ellison,Yes,1,0,Fiction,1952,
Beloved,Toni Morrison,Yes,3,0,Historical Fiction,1987,
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,0,Science Fiction,1969,
Heart of Darkness,Joseph Conrad,Yes,3,0,Adventure,1899,
Of Mice and Men,John Steinbeck,Yes,1,0,Tragedy,1937,
The Hobbit,J.R.R. Tolkien,Yes,4,0,Fantasy,1937,
The Lord of the Rings,J.R.R. Tolkien,Yes,2,0,Fantasy,1954,
A Game of Thrones,George R.R. Martin,Yes,5,0,Fantasy,1996,
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,0,Fantasy,2006,
The Odyssey,Homer,Yes,2,0,Epic Poetry,-800,
test8,myself,No,1,0,other,2005,[]
